Date,SEK.AX,TLS.AX,WOW.AX,WBC.AX,BHP.AX,CBA.AX,CPU.AX,WES.AX
2010-01-04,5.174004077911377,1.811809778213501,17.644468307495117,13.044593811035156,20.46660804748535,27.8636474609375,7.968876838684082,10.912308692932127
2010-01-05,5.296103477478027,1.8065589666366575,17.537837982177734,13.15286922454834,20.56162643432617,28.28512954711914,7.885939598083496,11.055428504943848
2010-01-06,5.1511101722717285,1.775049090385437,17.506473541259766,13.0910005569458,20.818172454833984,28.42731285095215,7.8444743156433105,10.89136028289795
2010-01-07,5.23505449295044,1.743539333343506,17.468839645385742,12.915696144104004,20.794414520263672,28.15309715270996,7.809914112091064,10.716819763183594
2010-01-08,5.181635856628418,1.775049090385437,17.619375228881836,12.96725845336914,20.72316169738769,28.518728256225582,7.955053806304932,10.982120513916016
2010-01-11,5.074797630310059,1.7592941522598269,17.562925338745117,12.982721328735352,21.126972198486328,28.7269344329834,8.086370468139648,11.013542175292969
2010-01-12,5.036642074584961,1.7382874488830566,17.431201934814453,12.982721328735352,20.66139411926269,28.7269344329834,8.079459190368652,10.96117877960205
2010-01-13,5.1129536628723145,1.7540419101715088,17.506473541259766,12.941473960876465,20.48561668395996,28.442554473876957,8.051813125610352,10.856451034545898
2010-01-14,5.029010772705078,1.7592941522598269,17.644468307495117,13.085843086242676,20.799169540405277,28.838645935058597,8.162398338317871,10.828527450561523
2010-01-15,4.960329055786133,1.7487908601760864,17.52528953552246,13.147713661193848,20.73740577697754,29.50389289855957,8.079459190368652,10.838996887207031
2010-01-18,4.884016513824463,1.7697973251342771,17.45001792907715,13.410669326782228,20.637643814086918,29.478492736816406,7.920495986938477,10.727291107177734
2010-01-19,4.929803848266602,1.7487908601760864,17.249309539794922,13.250832557678224,20.57588195800781,28.76247215270996,8.570168495178223,10.688892364501951
2010-01-20,4.967959880828857,1.7592941522598269,17.255578994750977,13.137402534484863,20.623388290405277,28.72184944152832,8.466499328613281,10.706347465515137
2010-01-21,4.960329055786133,1.785552144050598,17.249309539794922,13.204431533813477,20.27182006835937,28.72184944152832,8.36283016204834,10.552748680114746
2010-01-22,4.861122131347656,1.7697973251342771,17.249309539794922,13.085843086242676,19.810991287231445,28.310522079467773,8.259156227111816,10.25253963470459
2010-01-25,4.967959880828857,1.811809778213501,17.236759185791016,12.848669052124023,19.597206115722656,28.005834579467773,8.231513023376465,10.193193435668944
2010-01-27,4.945065975189209,1.8013068437576294,16.810232162475586,12.544466018676758,19.1458740234375,27.741777420043945,8.224599838256836,10.001202583312988
2010-01-28,4.960329055786133,1.796055793762207,16.427608489990234,12.673365592956545,19.335914611816406,27.980443954467773,8.224599838256836,9.861571311950684
2010-01-29,4.95269775390625,1.7540419101715088,16.220617294311523,12.302136421203612,18.718305587768555,27.030838012695312,8.024168968200684,9.603246688842772
2010-02-01,4.731389045715332,1.743539333343506,16.001081466674805,12.131988525390623,18.62328338623047,26.90387916564941,8.051813125610352,9.52295970916748
2010-02-02,4.876384735107422,1.775049090385437,16.095165252685547,12.168081283569336,19.22189712524414,27.19333839416504,8.051813125610352,9.543903350830078
2010-02-03,4.800073146820068,1.7697973251342771,16.082622528076172,12.10105323791504,19.71598052978516,27.122241973876957,8.14166259765625,9.529942512512209
2010-02-04,4.967959880828857,1.796055793762207,16.16416358947754,11.925748825073242,19.473682403564453,26.888647079467773,8.190044403076172,9.61721134185791
2010-02-05,4.769545555114746,1.7803007364273071,16.101442337036133,11.657641410827637,18.7895622253418,26.7464599609375,8.190044403076172,9.48805046081543
2010-02-08,4.70086669921875,1.764545440673828,16.00735092163086,11.987624168395996,18.813316345214844,26.797239303588867,8.176220893859863,9.533432006835938
2010-02-09,4.685602188110352,1.7592941522598269,15.875630378723145,11.796852111816406,18.932090759277344,26.77185821533203,8.259156227111816,9.680047035217283
2010-02-10,4.70849609375,1.7803007364273071,15.99480438232422,11.724666595458984,18.94634437561035,26.31989860534668,8.107105255126953,9.739392280578612
2010-02-11,4.822965621948242,1.6910232305526731,15.919535636901855,11.843254089355469,19.16963005065918,26.914043426513672,8.107105255126953,9.88251495361328
2010-02-12,4.998484134674072,1.6385066509246826,16.026172637939453,11.96184539794922,19.39292335510254,26.55857276916504,8.293715476989746,10.133853912353516
2010-02-15,4.998484134674072,1.6490103006362915,16.139070510864258,12.013404846191406,19.3169059753418,26.80804443359375,8.259156227111816,10.214143753051758
2010-02-16,5.334261417388916,1.6280038356781006,16.11398696899414,12.755860328674316,19.2646484375,26.77166748046875,8.286169052124023,10.315378189086914
2010-02-17,5.456361770629883,1.6280038356781006,16.383699417114258,13.11162281036377,19.663713455200195,27.639625549316406,8.426019668579102,10.350281715393066
2010-02-18,5.647142887115479,1.6437581777572632,16.3460693359375,13.0910005569458,19.44517707824707,27.546072006225582,8.48895263671875,10.681910514831545
2010-02-19,5.456361770629883,1.6595133543014526,16.195528030395508,13.127090454101562,19.478439331054688,27.447324752807617,8.31413745880127,10.89136028289795
2010-02-22,5.593723297119141,1.6540180444717407,16.33352279663086,13.467385292053224,20.0295352935791,28.133378982543945,8.412035942077637,11.313751220703123
2010-02-23,5.50214958190918,1.648522973060608,16.302160263061523,13.591126441955566,20.00578117370605,28.35166931152344,8.321131706237793,11.500718116760254
2010-02-24,5.555568695068359,1.626543045043945,16.21434211730957,13.281770706176758,19.42142677307129,28.06581115722656,8.342107772827148,11.354097366333008
2010-02-25,5.486886978149414,1.6540180444717407,15.96344757080078,13.245675086975098,19.217138290405277,27.639625549316406,8.251205444335938,11.143110275268556
